document	label
토론과 커뮤니케이션에 대해 가르치는 수업이지만 정작 커뮤니케이션이 되지 않는 ㅇㅇ	12211
시간대비 학점 너무 안나옴. 교수가 학생에 대한 호불호가 심해서 한 번 찍히면 절대 성적 잘 못받음4-1학기나 여름방학에 취업해서 저녁에 여유롭게 학교 나오는 막학기분들이 들으면 좋을듯	20222
수업은 재밌어요. 졸았던적 거의 없는거같아요. 필기는 엄청엄청 많구요,  교수님이 하는 말을 다 받아적어야합니다. 그래서 필기정리가 잘 안되고 그래서 시험 망......  수업자체는 대학교양다운 교양이에요.	20212
강의를 아주 재미있고 흥미있게 잘하신다. 예시, 사례 이야기도 정말 경험담도 많으셔서 재미있게 잘하신다. 다만 필기량이 정말 헬이고 교수님께서 말씀하신 모든 말을 받아적어야 시험을 풀수있다. 교수님이 시험전 마지막 강의때 시험에 나오는 부분을 찝어주시는데 그것을 절대  가볍게 믿으면 안되고 엄청 깊게 공부해야한다. 전혀 예상치 못한 세밀한 부분에서 나온다	20221
강의 내용 자체는 흥미롭고 재미있음 그러나 강의가 오로지 교수님 말로만 이루어지며 교재? 피피티? 그런 거 없음 교수님이 말하는 모든 걸 받아적어야 하며 그걸 바탕으로 시험 공부 해야 함 별로 중요하지 않게 여기고 필기하지 않으면 안됨 그 지엽적이고 세세한 부분이 시험문제로 나옴 필기  제대로 안 하면 시험 때 망해요...	20221
수업과 성적 모두 재미있다...교수님은 너무 좋아요!내 성적이 안 좋을 뿐..	21211
갓승한 공대지만 교양을 이렇게 열심히 공부한건 처음.강의는 정말 재밌음. 교수님이 외교관시절에 있던 썰도 적잖이 풀어주는게 재밌음. 시험 다 외워가면 95점은 그냥 넘음 꿀강의. 다만 노트북으로 타이핑하는건 필수.	21211
전직 외교관이라 강의 퀄리티는 좋긴 합니다. 강의가 대체적으로 재미있는 편이에요. 다만 본인이 내겠다고 한 부분에서 안내고 언급 안한 곳에서 냅니다... 흐름상 중요한 것을 내기보다도 그냥 중고등학교 쪼잔한 내신시험 문제 정도로 매우 지엽적이고 쪼잔하게 내니까... 이 강의는 손으로 적든 노트북으로 타이핑하든 필기가 매우 중요합니다. 제공해주는 강의노트는 중간고사 시험범위까지만 이거든요ㅋㅋㅋㅋㅋㅋㅋ... 필기할 때 스토리 같은 거는 간략하게 적되, 사건이나 개념 창시한 사람 이름, 개념 설명들 토씨하나 안틀리게 다 적으시고 시험 준비하실 때 다 외우세요...	20212
숭실대의 명물 수업. 토론의 끝장을 맛볼 수 있다. 학점도 끝장나는 건 덤이다.	20222
수업자체는 구두식으로 진행됩니다. 상당히 필기량이 많긴 하지만 교양다운 교양이라고 생각 됩니다. 수업은 정보와 정보기관 전반적인 내용에 대해서 다룹니다. 시험같은 경우는 그냥 세세한 부분까지 다 외워가시면 금세 풀순 있지만 생각보다 다들 열심히 해서 학점관리하기는 빡셀듯하네요. 	20222
진심개꿀잼이었음 그렇게 빡세지도않았음 문제도 중요한거 위주로 중간보면 대충 기말 어떻게 낼지 보임.진심교양다운교양의 끝판왕 전공교수님한텐 미안하지만 다른거 결석해도 이건 재밋어서 들으러갔음 학점이 문제가아니라 그냥 학교가는게 재밋었음 	21212
조금만 한눈팔아도 수업내용 많이 놓침 하지만 교수님 강의력 좋아서 집중하면 75분 훅 지나감. 재밌는 수업, 남는게 많은 수업이었음 	22211
PPT같은 보조도구들을 수업에 사용하시지 않으시고 구두로 수업을 진행하십니다. 주로 국가정보기관들과 정보사들을 주제로 수업을 진행하는데, 역사의 비하인드 스토리들을 듣는 것같아서 재미있고 전직 외교관이시라서 그런지 전해주시는 정보들도 공신력이 있습니다. 강의록을 개인블로그에 올려주시기는 하지만 그 내용이 부실해서 평소에 필기를 열심히 하시거나 친구와 같이 듣는것을 추천드려요! 개인 과제는 제시된 주제하나를  A4한장 분량으로 조사해 레포트로 제출하고 이를 바탕으로 발표하는건데, 따로 준비할 거없이 레포트만 만들고 앞에서 읽으면 되어 간단해요. 시험문제도 어려운 편은 아니어서 수업만 잘 따라가시면 무난히 성적 받으실수 있습니다. 중간고사 때에는 영화 하나를 지정해서 보게 한 뒤에 문제하나를 영화에 기반해서 내십니다. 출석은 수업 시작할 때 한번 부르세요!	11212
손으로 필기하면 손이 저릴정도의 엄청난 수업량이지만 매번 들려주시는 흥미로운 역사적 사실들이 매우 재밌습니다!! 정말 교양다운 강의입니다! 교수님도 항상 열심히 수업준비 해오시고 대학와서 강의다운 강의를 들은것 같아요	22211
교수님 너무 좋아요! 이렇게 알찬 강의는 처음이었던 것 같아요...국정원에 들어가보고 싶을 정도로 흥미돋는 수업이었습니다. 다만 다른 분들이 말했듯이 노트북이 없으면 힘들어요. 교수님이 말하신 모든 걸 받아 적어야 하니까요. 사소한 키워드까지 다 암기하는 게 필승의 길입니다. 중간 보시면 어떻게 공부해야 하는지 감이 잡힐 거에요. 쉬운 내용은 아니지만 하다보면 재밌고, 사례 말해주시는데 흥미로웠어요~	22211
배우는 내용이 방대합니다. 필기도 산발이고. 그러나 수업의 질은 진짜 대학수업같았습니다. 	22212
열심히 듣는 사람 매우 많아요. 학점 따기 힘드실 거에요.  그래도 배워가는 건 많아 좋았습니다.	20222
정보활동이라는  것에 대해서 정말 무지했었는데 이 강의를 통해서 많이 얻고 갑니다. 세계사와 한국의  역사와 정보활동에 대해서도 이야기형식으로 잘 풀어주셔서 이해하기도 쉽고, 전반적인 스토리를 이해하면 시험도 쉽습니다! 그러나 부분 부분 암기해야 할 것이 있어요. 저는 중간은 평균보다 조금 높게 받아서 A는 못받을 줄 알았는데 기말을 만점받아서 A쁠 받았네요. 다만 다들 열심히 하셔서 조금 학점 관리하시기 힘들 수도 있을 거예요. 강의는 정말 명강의입니당!!	21212
정말 명강의 입니다. 정보의 역사와 견해에 대해 배우면서 세계사에 대한 풍요로운 지식을 함께 얻을 수 있습니다. 수업이 전혀 지루하지 않고 교수님이 흥미로운 일화들을 소재로 진행하셔서 수업을 재미있게 들으신다면 시험공부도  수월하실 것 같습니다! 꼭 추천드립니다!!! 	22211
완전 좋아요 무지 했던 역사적 사실에 대해 깊게 배우면서 넓은 관점에서 배워요 제가 4-2인데 졸업하기 전에 이런 명강을 들어서 행복합니다 	22212
타과생인데 첨에 멍~~ 했어요 지금도 멍~~하지만 교수님 되게 신사같으시고  좋으신 분 같습니다! 강의 내용도 강의명과 맞는 내용이지만 필기할때 ㅠㅠㅠㅜ  지금 내가 뭐하고있는거지 하는 생각이 드는데 ㅎ 정리된 필기 내용 나눠주신담에 그걸로 수업하면  더 이해가 잘 되고 좋을거같아요....멍...차라리 교재가 있었다면.... 	22221
강의는 나름 재미있는데 적어야할게 많아서 노트북필수....시험도 안나올거같은 부분에서 나와서 중요하다고 생각되는것만 공부하면 성적 잘 못받음....그래도 정보쪽에 관심있으면 들어볼만한 수업! 	20211
들을 때는 좋은데 시험준비 할때 힘들었네요. 문제가 생각치 못했던 곳에서 나와서 시험지 받고 엄청 당황했던...... 듣다가 실수로 뭐 빼놓고 적으면 거기서 나오는 경우가 생기니까 열심히 필기해야 할 것 같네요. 	20222
한번 멍때리면 그냥 그부분은 날리시는 거에요. 집중하세요. 안그러면 필기 절대 못알아봅니다. 수업내용이 유익이 될 때는 많지만 시험공부 미친듯이 꼼꼼히 할 거 아니면 하지 마세요. 하나마나..... 못쓰는 건 똑같아서... 엄청 열심히 해야 빈칸을 채울 수 있어요.... 엄청 꼼꼼히 이상한 거도 외우세요. 학점은... 조금 힘드네요. 	20212
정말 교양다운 수업입니다  다만 학점따기는 정말 힘들다는거 알고들으세요 	20222
정말 대학수업을 듣고 싶다면 추천드립니다! 제가 생각했던 대학 교양 강의에요! 교수님께서 이분야에서 직접 일을 하셨기 때문에 풍부한 강의를 들을 수 있어요. 하지만 소문대로 성적 받기는 쫌 어렵군요!!ㅠㅠ 그래도 좋았습니당	20212
저는 이 수업 정말 좋았어요. 정말 대학강의다운 강의라고 생각해요 ㅎㅎ 생각의 폭이 넓어지는 느낌ㅎㅎㅎ 다만 좀 열심히해야해요! 다들 열심히해서ㅎㅎ 저학년이었지만 열심히해서 성적 잘 받았어요	22212
흥미로운 주제라 관심을 갖고 수업을 신청헀습니다. 평소에는 배울 수 없는 정말 유익한 내용들을 많이 배웠는데요. 강의 필기가 정말 많기 때문에 노트북은 필수인 것 같습니다. 교수님이 이론만 빠삭하신 분이 아니라 실제로 그런쪽에서 일을 하셨기 때문에 직접 겪으신것도 말해주시고 수업은 재미있습니다. 시험을 위해서 사건들의 큰 흐름만 기억하라고 하시지만 아무래도 성적을 매겨야 하기때문에 정말 디테일한 부분을 시험에 내십니다. 한꺼번에 많은 학생들이 듣는 수업이지만 다들 집중해서 열심히 듣더라구요. 열심히 했기에 성적은 A0 받았습니다. 시험때 다맞는 분들도 있습니다. 	22212
수업자체가 되게 재밌고교수님판서가  산발식이라서  정리하기  어렵지만 그래도 왠만한 내용 전부 다 필기하는것이 좋습니다.시험 전에  시간좀 잡고 정리한내용 계속보면 잘 나옵니다.(디테일한부분도 나와요) 	22212
좋은 강의였습니다~~다만 아쉬운건 필기할께 좀 많고요.....그래서 다른학생들이 노트북으로 타이핑하는데 그거때문에 소리가 많아서 짜증나네요시험문제에서 생각지도 못한곳에서 나오네요그래도 교수님이 굉장히 좋은분이고 수업에 열정적이여서 만족스럽습니다다들 열심히 수업들으니 1학년은 신청안하시는게 좋은거같습니다1학년인데 강의보고 신청했다가 고학번들이 대부분인 강의를 들어서  경쟁이 치열하네요 	22211
강의 내용만 놓고 보면 별 4.5점 주고 싶을만큼 스파이니 국제정치니 관심 전혀 없었는데도 한학기내내 재밌고 유익했음. (시간 맞는 수업 찾아 들어간거라 이런 수업인지 몰랐음) 교재 없고 교수님 말씀하시는거 전부 받아적어야해서 손목 보호를 위해 노트북은 필수. 과제는 한번 있는데 부담없을 정도. 지각결석 없이 교수님 말씀 다 받아적었는데도, 시험공부를 열심히 했는데도 아쉬운 이유는 시험이 너무 어처구니 없는게 껴서 나옴. 흐름 위주로 디테일에 집착하지 말라 하셔놓고 시험문제는 너무나 디테일한걸 내시니까 ㅠㅠ 열심히 했는데 억울한 수업은 처음이었음. 근데 나만 열심히 한거 아니고 다들 정말 미친듯이 열심히 하는게 보여서 성적 기대 이하였어도 인정할 수밖에 없었던 수업. 그럼에도 교수님은 젠틀하시고 멋지십니다 	10221
흐음.. 강의자체는 생각보다 재미있었습니다. 그러나 학점받기 매우 어렵습니다. 다른 교양수업과 다르게 열심히하는 사람이 상당히 많습니다. 시험 준비하기에는 내용이 너무 많았고 정리하는데 시간이 오래 걸립니다. 오로지 필기로만 수업이 진행되기 때문이죠.그리고 제일 안좋았던 것은 이번에도 족보가 돌았다는 소문이 있습니다. 생각보다 뜬금없는 부분에서 문제를 출제하셔서 중간고사 때 애먹었는데 중간고사를 못보면 기말에서 아무리 잘봐도커버하기 힘듭니다. 기말고사 다 맞은 것 같은데, 족보있는 사람들을 못이긴건기, 다른 사람도 다 맞은건지, 그런데기말고사가  분명 다 맞을만한 쉬운 난이도는 아니였는데 역전하기 어렵더군요. ㅠ 잘생각해서 들으세요.그렇게	20212
1. 필기가 너무 많습니다.2. 내용이 유익한지 모르겠습니다.3. 문제 유형이 납득이 잘 안됩니다. 무슨 이런걸 다 내나 싶은 문제가 있달까요?4. 내용 자체가 흥미로운지는 주관적이겠지만, 저는 별로였어요.	22202
저학년은 힘든 강의가 될 것 같아요! 물론 저학년중에도 열심히해서 점수잘받는 모습보긴했지만 대부분 고학년 선배님들이 수업을 열심히. 진짜 열심히 들으셔서 .. 수업 빡세요ㅠㅠ 필기많이해야하는데 필기하는게 생각만큼 쉽지않아요~! 	22202
우선 교수님은 정말 좋으신 분이십니다 ㅎ 수업 내용도 정말 재밌고 정보학에 대한 수준 높은 내용을 공부할 수 있었습니다. 다만 문제가 있다면 필기가 엄청 많은데 필기가 엄청 산발적이라서 정리하는게 엄청 어렵다는 점이구요분명히 수업시간에 시험문제 낼거라고 찍어주셨던 문제가 단한개도 안나왔습니다. 이거 뒤통수 맞고 와 .. 약간 당황했는데제 학점 보니깐 이렇게 당황한 사람이 저만은 아니더라구요 ㅎㅎ 출결 확실히 하시고 조오금만 공부하면 그래도 성적 꽤나 잘 받으실수 있는 것 같습니다 ㅎ	21221
다들 공부 열심히 하시더라구요. 저는 뒤에서 많이 졸았습니다. 그래도 교수님 정말 강의 열심히 하시고 경험담도 자주 말씀해주셔서 재미있었어요.  제가 많이 졸아서 필기못했기때문에 성적에 대해서는 할말이 없습니다................. 	22221
저학년들은 피하는 게 좋은 과목 같아요. 농담이 아니라 정말 조는 사람 자는 사람이 단 한명도 없습니다. 중간고사 평균 점수가 80점 중후반이었다고 하네요. 수업 내용 자체는 재미있고 공부한 만큼 성적이 나오긴 하지만 워낙 잘하시는 분들이 많은지라... 그리고 교수님이 너무 목소리톤이 낮고 차분하셔서 전 좀 심하게 잠왔어요. 	22210
정말 재미있는 강의였다.  세계 곳곳에서 일어나는 정보전쟁과 스파이 활동에 대한 과목이였다.  물론 공부량이 많다.  범위도 많고 필기량도 많다.  하지만 정말로 교양답고 재미있는 과목이다.	22221
세계 곳곳의 정보 기관과 정보 처리에 관한 강의입니다.중간중간에 해주시는 스파이 얘기도 흥미롭고,시험도 찍어주시는 데서 나오고 외울 게 많긴 하지만 너무 좋습니다!강의 듣는 동안 관련 서적을 찾아볼 정도로  재미있었습니다*.*사실 교수님의 안정적인 발성과 목소리에 졸기도 많이 졸았지만정말 좋은 강의였습니다!	21212
자료구조 교수님 중 가장 쉽게 가르친다.즉, 전필인 자료구조를 아주 쉽게쉽게 넘어갈 수 있다.하지만 딱히 도움될 만한게 없으니 만약 제대로 배우고 싶은게 있다면 추천하지 않는다.	22221
성적은 진짜 잘주는 것같고 문제는 족보 그대로 나옴.족보가 아싸한테도 있는 것을 보면 답이나올정도임. 하지만 변별력있게냄족보에서 안나온 한두문제를 껴넣는 형식이고 이걸로 변별력 냄.교수 수업없이도 본인이 자료구조에대한 기본지식이 있다면 A대는 받을 수 있는 수업단, 교수의 자랑과 로이킴을 견딜 수 있는자가 이 수업의 승리자라고 생각함	21222
남는건 없는수업입니다... 하지만 선택의 여지가 없으므로 체념하고 들으세요 	22202
하... 날강.. 다른교수님을 추천합니다.. 	22220
죽어도 에이쁠은 안주시는듯..1. 1분도 늦지말라고하시고 본인이 늦음. 거의 매일 늦었음ㅋㅋ2. 핸드폰 하는 사람 몰래 체크해감.. 오우3. 가끔 맨뒤로 가서 수업하고 왔다갔다 하셔서 집중안하면 교수님이 나 쳐다보고있음ㅋㅋㅋㅋ저는 에이제로나왔지만 진짜 아부란 아부다떨고 해서 받은거임.. 나쁜 교수님은 아니지만 학점따기 좀 힘들수있으니 힘내세요 :)	22220
제발하지마 진짜로버뜨 로뀨 로쌔끼아 드랍할걸 필수여도 나중이들으걸 후회중이야수업?  좋지 배워가는것도 많아근대 하루애 2번씩 발표해도 시험전날에 2일밤을새도C가나와. 영어잘하고 자신있음 ㄱ ㅎ	20212
좋은분이시지만 성적 주는건 매우깐깐해서 한번이라도 출결 안하면 당신 성적의 명복을 액션빔	20221
교수님 착하고 성격좋아보임  필자는 출석이 않좋아서 학점이 구데기지만 출석잘하고  시험 그럭저럭보면 원하는 학점얻을수 있을듯	22221
깐깐하자만 수업 열심하 들을 자신았그면 들으셈출석을 매우 늦게함 9시 시작이면 9시 15분까진 안전함 	22122
로버트면 도망가세요.. 일단 출석 엄청 깐깐하게보고 학점또한 짭니다.수업시간에는 뭘 배우는지 감이안올정도로 체계가 없어요 	20002
진짜 교수가 학점을 너무 깐깐하게줌. 그리고 매번 출석을 부를때 사람한테 질문을 하는데 그게 또 단답형이면 뭐라함. 핸드폰 하는거 매우 싫어하고 자는것도 싫어함. 한번은 반애들이 많이 졸았는데 히터끄고 애들 일어서게 하고 창문을 열더니 다같이 어깨 주무르게 하고 하튼 별난 교수임. 내 인생에서 만난 최악의 교수였음. 나름 수업 열심히 참여했다 생각했는데.. 씨 준거 보고 왠만한 욕 다 나왔음. 영어 같은반 애들끼리 교수 욕으로 더 친해질 정도로 교수가 싸이코임. 이 영어 교수가 자기 담당 교수다.,하면 바로 드랍하는걸 추천함. 난 내 인생 젤 후회되는 순간이 영어2 드랍 안한거임 	20220
교수님 자체는 좋은 것 같은데 수업 방식이랑 가르치는거에 대해선 정말 모르겠음 ㅠ 막 지각하지말라고 엄청 강조하면서 사회생활할때 안 늦는게 중요하다 절대 늦지말라 어쩌구 하시고 왜 본인은 매번 기본 5분씩 늦으시는건지...? 의문임;; 안 늦은 날이 손에 꼽을듯 ㅜ 늦게 오시고 늦게 끝내시고 ㅠ... 자기 주장이 확고한분이신듯 ㅜ 너무 디테일한것까지 주장하시는것 같기도 하고..; 발표 시험 두번 보고 발표 그냥 보통 이하~ 평타 수준으로 한거 같고 출석 매번 하고 숙제 체크 2번 못했는데 b0나왔고 아무튼 교수님 자체는 괜찮으신데 ... 수업은 그냥 그런듯 ㅜ	22201
솔직히 로버트교수님이 진짜 점수 깐깐하게 주시고  시간도 한번도 일찍 끝내준적은 없지만  공부하기엔 좋은 교수님이신것같아요. 점수엔 빡빡하지만  학생들에게 많은 지식을 알려주십니다.그래도 한번더들으라하면 못듣겠네요 ;;;	20221
로버트...맨날 지각하고...늦은만큼 늦게끝내줌....솔직히 뭐배우는지도 모르겠고 뭐 하나 잘못하면 꼽엄청줌...시험은 중간기말 발표 하나씩이랑 기말 에쎄이쓰는거까지 총 세번...점수는 내용충실하게 썼으면 잘 주는듯..	21220
시험은 두번인데 해야할 과제가 많아요. 앞에 나가서 발표하는 부분도 있고 할때는 가성비 완전별로였다고 생각했는데 발표같은것도 듣다보면 배워가는것도 있습니다. 가산점은 토론광장 출첵 발표등 이것저것 챙겨주시려고 하는데 본인이 안챙겼습니다 ㅠ 출석은 체크 엄격하시니 지각하지 마세요~~	02022
